Year,"Imported fuel oil; Manzanillo, Colima","National fuel oil; Altamira, Tamaulipas","National fuel oil; Chihuahua, Chihuahua","National fuel oil; Saltillo, Coahuila","National fuel oil; Gomez Palacio, Durango","National fuel oil; Guaymas, Sonora","National fuel oil; Lerma, Campeche","National fuel oil; Mazatlan, Sinaloa","National fuel oil; Merida, Yucatan","National fuel oil; Petacalco, Guerrero","National fuel oil; Puerto Libertad, Sonora","National fuel oil; Poza Rica, Veracruz","National fuel oil; Ro Bravo, Tamaulipas","National fuel oil; Salamanca, Guanajuato","National fuel oil; Samalayuca, Chihuahua","National fuel oil; Topolobampo, Sinaloa","National fuel oil; Tula, Hidalgo","National fuel oil; Tuxpan, Veracruz","National fuel oil; Valladolid, Yucatan","National fuel oil; Vizacainos, Baja California Sur","National fuel oil; Villa de Reyes, San Luis Potos",Carbon II,Carbon Petacalco,Carbon Ro Escondido,Diesel Baja California,Diesel Nacional,Diesel Pennsula de Yucatan,"Domestic natural gas; Dos Bocas, Veracruz","Domestic natural gas; Monterrey, Nuevo Leon","Domestic natural gas; Centro I I Cuautla, Morelos",Imported natural gas; Baja California,"Domestic natural gas; Lerma, Campeche","Domestic natural gas; Nizuc, Quintana Roo","Domestic natural gas; Valladolid, Yucatan","Domestic natural gas; Petacalco, Guerrero","Domestic natural gas; El Sauz, Queretaro","Domestic natural gas; Tula, Hidalgo","Domestic natural gas; Tuxpan-Poza Rica, Veracruz","Domestic natural gas; Altamira, Tamaulipas",Liquified natural gas; Manzanillo,"Domestic natural gas; Tamazunchale, San Luis Potos","Domestic natural gas; Tuxpan, Veracruz",Uranium,"Domestic natural gas; Topolobampo, Sinaloa","Domestic natural gas; Norte II, Chihuahua"
2016,45.32976302,34.37305835,37.21760555,33.09638853,34.85680942,36.37886019,35.49231023,36.19403667,38.98997885,36.07509688,36.77517193,34.10292935,35.21449969,30.63251228,37.56080445,36.32031557,31.05193191,35.040717,37.91124391,41.26796681,33.5309341,46.53549601,62.6892361,41.93620025,76.51154122,75.14576594,77.64585804,3.880380214,3.776280214,4.073680214,4.725145492,5.147993088,3.792780214,4.137880214,3.890380214,4.177780214,4.073680214,4.073680214,3.880380214,3.776280214,3.192707146,3.822780214,3.776280214,1.97,4.775580214
2017,61.97651007,48.31474281,51.2372069,47.03807299,48.87641076,50.32054464,49.51191157,50.13572113,53.00958019,50.01678134,50.71685639,48.3952398,49.15618415,44.65211362,51.50248891,50.26200002,45.34424236,49.06031834,51.93084525,55.20965126,47.55053544,64.12571464,87.96505518,58.16301225,92.00132415,90.35904729,93.36528374,4.376828665,4.272728665,4.570128665,5.302689899,5.725537494,4.289228665,4.634328665,4.386828665,4.674228665,4.570128665,4.570128665,4.376828665,4.272728665,3.639927011,4.319228665,4.272728665,1.97,5.272028665
2018,65.81702538,51.5137815,54.45422153,50.23711168,52.0934254,53.51958333,52.72892621,53.33475982,56.22659483,53.21582003,53.91589508,51.67517024,52.35522284,47.86912826,54.7015276,53.46103871,48.6241728,52.27733298,55.14785989,58.40868996,50.76755008,71.9714838,99.23883444,65.40066085,95.78064167,94.07090181,97.20063128,4.269041901,4.164941901,4.357284221,5.185616317,5.338788245,4.076384221,4.421484221,4.173984221,4.461384221,4.357284221,4.357284221,4.163984221,4.164941901,3.842447423,4.211441901,4.164941901,1.98,5.164241901
2019,69.25523639,54.38499788,57.34153082,53.10832806,54.98073469,56.39079971,55.6162355,56.2059762,59.11390412,56.08703641,56.78711146,54.61880474,55.22643921,50.75643755,57.57274398,56.33225509,51.5678073,55.16464227,58.03516918,61.27990633,53.65485937,73.96346114,102.1011558,67.23824129,99.07793093,97.30933255,100.5468043,4.493984374,4.389884374,4.582226694,5.447303643,5.600475571,4.301326694,4.646426694,4.398926694,4.686326694,4.582226694,4.582226694,4.388926694,4.389884374,4.045084257,4.436384374,4.389884374,1.98,5.389184374
2020,71.32353718,56.10141709,59.06763094,54.82474727,56.70683481,58.10721893,57.34233562,57.92239541,60.84000424,57.80345562,58.50353067,56.37878802,56.94285843,52.48253767,59.28916319,58.04867431,53.32779058,56.89074239,59.7612693,62.99632555,55.38095949,80.54399638,111.5568892,73.30872345,101.1891254,99.38284098,102.6892981,4.612277227,4.508177227,4.700519547,5.584919895,5.738091823,4.419619547,4.764719547,4.517219547,4.804619547,4.700519547,4.700519547,4.507219547,4.508177227,4.15164701,4.554677227,4.508177227,1.99,5.507477227
2021,72.90830395,57.39437618,60.3680077,56.11770636,58.00721157,59.40017801,58.64271238,59.2153545,62.140381,59.09641471,59.79648976,57.70512663,58.23581752,53.78291443,60.58212228,59.34163339,54.65412919,58.19111915,61.06164606,64.28928464,56.68133625,82.67109309,114.613367,75.27095024,103.0691034,101.2292603,104.5971476,4.716638012,4.612538012,4.804880332,5.706328246,5.859500174,4.523980332,4.869080332,4.621580332,4.908980332,4.804880332,4.804880332,4.611580332,4.612538012,4.24565922,4.659038012,4.612538012,2.01,5.611838012
2022,74.41818496,58.60997854,61.59067722,57.33330872,59.22988109,60.61578037,59.8653819,60.43095686,63.36305052,60.31201707,61.01209212,58.95253121,59.45141988,55.00558395,61.79772464,60.55723575,55.90153377,59.41378867,62.28431558,65.504887,57.90400577,83.08590759,115.2094242,75.65361274,105.0524806,103.177233,106.6099292,4.820998314,4.716898314,4.909240634,5.827736034,5.980907963,4.628340634,4.973440634,4.725940634,5.013340634,4.909240634,4.909240634,4.715940634,4.716898314,4.339670995,4.763398314,4.716898314,2.01,5.716198314
2023,75.97340717,59.83629841,62.82427648,58.55962859,60.46348034,61.84210024,61.09898115,61.65727673,64.59664978,61.53833694,62.23841199,60.21160831,60.67773975,56.2391832,63.02404451,61.78355562,57.16061087,60.64738792,63.51791483,66.73120687,59.13760502,83.94253405,116.4403319,76.44384262,107.4002832,105.483126,108.992539,4.873178465,4.769078465,4.961420785,5.888439929,6.041611857,4.680520785,5.025620785,4.778120785,5.065520785,4.961420785,4.961420785,4.768120785,4.769078465,4.386676883,4.815578465,4.769078465,2.02,5.768378465
2024,77.52288659,60.91597614,63.91120671,59.63930632,61.55041057,62.92177797,62.18591138,62.73695446,65.68358001,62.61801467,63.31808972,61.32392231,61.75741747,57.32611344,64.10372224,62.86323335,58.27292487,61.73431815,64.60484506,67.81088459,60.22453525,84.36198788,117.0430554,76.83078486,111.4195747,109.4306708,113.0714183,4.925359099,4.821259099,5.013601419,5.949144385,6.102316313,4.732701419,5.077801419,4.830301419,5.117701419,5.013601419,5.013601419,4.820301419,4.821259099,4.433683205,4.867759099,4.821259099,2.02,5.820559099
2025,78.74122178,61.81927767,64.82021079,60.54260786,62.45941466,63.82507951,63.09491547,63.64025599,66.59258409,63.52131621,64.22139125,62.25288532,62.66071901,58.23511752,65.00702378,63.76653489,59.20188788,62.64332224,65.51384915,68.71418613,61.13353934,84.7826175,117.6474685,77.21881175,113.9371511,111.903307,115.6263188,4.97753925,4.87343925,5.06578157,6.009848279,6.163020208,4.78488157,5.12998157,4.88248157,5.16988157,5.06578157,5.06578157,4.87248157,4.87343925,4.480689093,4.91993925,4.87343925,2.03,5.87273925
2026,80.32380533,63.14182669,66.15016726,61.86515687,63.78937112,65.14762852,64.42487193,64.96280501,67.92254056,64.84386522,65.54394027,63.60876787,63.98326803,59.56507399,66.32957279,65.0890839,60.55777042,63.97327871,66.84380562,70.03673514,62.4634958,85.42408474,118.5692086,77.81055926,115.4436501,113.3829141,117.1551523,5.029719884,4.925619884,5.117962204,6.070552736,6.223724664,4.837062204,5.182162204,4.934662204,5.222062204,5.117962204,5.117962204,4.924662204,4.925619884,4.527695415,4.972119884,4.925619884,2.04,5.924919884
2027,81.78804456,64.36701277,67.38220687,63.09034295,65.02141073,66.3728146,65.65691154,66.18799108,69.15458017,66.0690513,66.76912635,64.86479482,65.2084541,60.79711359,67.55475887,66.31426998,61.81379738,65.20531831,68.07584522,71.26192122,63.69553541,85.42018369,118.5636031,77.80696058,116.8193321,114.7340394,118.5512294,5.081900518,4.977800518,5.170142838,6.131257192,6.28442912,4.889242838,5.234342838,4.986842838,5.274242838,5.170142838,5.170142838,4.976842838,4.977800518,4.574701738,5.024300518,4.977800518,2.04,5.977100518
2028,83.32906798,65.6800652,68.70247223,64.40339538,66.34167609,67.68586703,66.9771769,67.50104352,70.47484553,67.38210373,68.08217878,66.21030542,66.52150654,62.11737895,68.8678113,67.62732241,63.15930798,66.52558367,69.39611058,72.57497366,65.01580077,85.84439534,119.1731633,78.19829187,117.9879275,115.8817747,119.7371497,5.134080186,5.029980186,5.222322506,6.191960524,6.345132453,4.941422506,5.286522506,5.039022506,5.326422506,5.222322506,5.222322506,5.029022506,5.029980186,4.62170719,5.076480186,5.029980186,2.06,6.029280186
2029,84.87358771,67.01495481,70.04459113,65.73828499,67.68379499,69.02075664,68.3192958,68.83593313,71.81696442,68.71699334,69.41706839,67.57772684,67.85639615,63.45949785,70.20270091,68.96221202,64.5267294,67.86770257,70.73822948,73.90986326,66.35791967,86.26671117,119.7799993,78.58787426,118.9362221,116.8131417,120.6995032,5.18626082,5.08216082,5.27450314,6.252664981,6.405836909,4.99360314,5.33870314,5.09120314,5.37860314,5.27450314,5.27450314,5.08120314,5.08216082,4.668713513,5.12866082,5.08216082,2.06,6.08146082
2030,86.37924469,68.31431849,71.35100219,67.03764867,68.99020606,70.32012032,69.62570687,70.1352968,73.12337549,70.01635702,70.71643207,68.90880377,69.15575982,64.76590892,71.50206459,70.2615757,65.85780633,69.17411364,72.04464055,75.20922694,67.66433074,86.69168845,120.3906596,78.97991182,119.8835661,117.7435751,121.660892,5.238440971,5.134340971,5.326683291,6.313368875,6.466540803,5.045783291,5.390883291,5.143383291,5.430783291,5.326683291,5.326683291,5.133383291,5.134340971,4.715719401,5.180840971,5.134340971,2.07,6.133640971
