Year,Tecnology,State,Region,Node,Status,Brute capacity (MW),Investment (MXN* 10^6)
2016,Bioenergy,YUC,07-Peninsular,42-Merida,In construction,0.75,11.2596
2016,Eolic,YUC,07-Peninsular,42-Merida,About to start construction,30,1023.6
2016,Eolic,ZAC,03-Occidental,25-San Luis Potos,About to start construction,30,1023.6
2016,Eolic,TAMS,06-Noreste,21-Guemez,About to start construction,50,1706
2016,Eolic,TAMS,06-Noreste,21-Guemez,About to start construction,50,1706
2016,Eolic,JAL,03-Occidental,24-Aguascalientes,About to start construction,129,6824
2016,Eolic,COAH,06-Noreste,17-Saltillo,About to start construction,200.6,6844.472
2016,Eolic,CHIS,02-Oriental,39-Grijalva,In construction,19.965,681.2058
2016,Eolic,ZAC,03-Occidental,24-Aguascalientes,In construction,180,6141.6
2016,Eolic,ZAC,06-Noreste,17-Saltillo,About to start construction,70,2388.4
2016,Geotermic,PUE,02-Oriental,34-Puebla,In construction,26.62,1013.7321
2016,Hydroelectric,VER,02-Oriental,33-Veracruz,About to start construction,29.59,757.2081
2016,Hydroelectric,NAY,03-Occidental,22-Tepic,In construction,24,736.992
2016,Hydroelectric,JAL,03-Occidental,23-Guadalajara,In construction,6,153.54
2016,Hydroelectric,JAL,03-Occidental,23-Guadalajara,In construction,8,204.72
2016,Nuclear,VER,02-Oriental,33-Veracruz,Maintenance project,110,5092.346
2016,Solar,SON,04-Noroeste,02-Cananea,In construction,20,1194.2
2016,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,30,1791.3
2016,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,30,1791.3
2016,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,29.136,1739.71056
2016,Solar,CHIH,05-Norte,09-Chihuahua,About to start construction,30,1791.3
2016,Solar,QR,07-Peninsular,44-Chetumal,Processing generation permit with the CRE,30,1204.2654
2016,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,30,1791.3
2016,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,30,1791.3
2016,Solar,GTO,03-Occidental,30-Queretaro,In construction,30,1791.3
2016,Solar,GTO,03-Occidental,30-Queretaro,In construction,30,1791.3
2016,Solar,SON,04-Noroeste,03-Obregon,In construction,30,1791.3
2016,Solar,BCS,09-Baja California Sur,51-La Paz,In construction,25,1492.75
2016,Solar,JAL,03-Occidental,23-Guadalajara,In construction,14.385,858.92835
2016,Solar,JAL,03-Occidental,23-Guadalajara,In construction,14.385,858.92835
2016,Solar,BCS,09-Baja California Sur,51-La Paz,In construction,5,298.55
2016,Solar,MEX,01-Central,31-Central,In construction,20,1092.693
2016,Solar,DGO,05-Norte,10-Durango,Processing generation permit with the CRE,50,2007.109
2016,Solar,SON,04-Noroeste,01-Hermosillo,In construction,26.66,1591.8686
2016,Solar,CHIH,05-Norte,08-Moctezuma,In construction,20,1194.2
2016,Solar,ZAC,06-Noreste,17-Saltillo,Processing generation permit with the CRE,100,4014.218
2016,Solar,GTO,03-Occidental,30-Queretaro,About to start construction,30,1791.3
2016,Solar,CHIH,05-Norte,09-Chihuahua,About to start construction,30,1791.3
2016,Solar,QR,07-Peninsular,44-Chetumal,Processing generation permit with the CRE,30,1204.2654
2016,Solar,SON,04-Noroeste,01-Hermosillo,In construction,30,1791.3
2016,Solar,COAH,06-Noreste,12-Ro Escondido,About to start construction,29.36,1753.0856
2016,Solar,SON,04-Noroeste,01-Hermosillo,In construction,30,1791.3
2016,Solar,SON,04-Noroeste,01-Hermosillo,In construction,30,1791.3
2016,Solar,SLP,03-Occidental,25-San Luis Potos,In construction,30,1791.3
2016,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,30,1791.3
2016,Solar,DGO,05-Norte,10-Durango,About to start construction,10,597.1
2016,Solar,DGO,05-Norte,10-Durango,About to start construction,15,895.65
2016,Solar,DGO,05-Norte,10-Durango,In construction,30,1791.3
2016,Solar,DGO,05-Norte,10-Durango,About to start construction,6.25,373.1875
2016,Solar,DGO,05-Norte,10-Durango,About to start construction,6.25,373.1875
2016,Solar,DGO,05-Norte,10-Durango,About to start construction,3.5,208.985
2016,Solar,CHIH,05-Norte,09-Chihuahua,About to start construction,30,1791.3
2016,Solar,TAMS,06-Noreste,21-Guemez,New project,10,401.4218
2016,Termosolar,SON,04-Noroeste,02-Cananea,In construction,14,600.085
2017,Eolic,SLP,03-Occidental,25-San Luis Potos,Proyect with CENACE interconection process,100,3439.296
2017,Eolic,JAL,03-Occidental,24-Aguascalientes,About to start construction,71,2422.52
2017,Eolic,TAMS,06-Noreste,18-Valles,Proyect with CENACE interconection process,300,10317.888
2017,Eolic,ZAC,03-Occidental,24-Aguascalientes,About to start construction,70,2407.5072
2017,Eolic,ZAC,06-Noreste,17-Saltillo,About to start construction,70,2388.4
2017,Geotermic,BCS,10-Mulegé,53-Mulege,Tendering,2,145.52941
2017,Hydroelectric,VER,02-Oriental,32-Poza Rica,In construction,6.2,158.658
2017,Hydroelectric,VER,02-Oriental,32-Poza Rica,In construction,8.3,212.397
2017,Solar,AGS,03-Occidental,25-San Luis Potos,In construction,30,1791.3
2017,Solar,AGS,03-Occidental,25-San Luis Potos,In construction,30,1791.3
2017,Solar,AGS,03-Occidental,25-San Luis Potos,About to start construction,30,1791.3
2017,Solar,AGS,03-Occidental,25-San Luis Potos,In construction,30,1791.3
2017,Solar,CHIH,05-Norte,09-Chihuahua,About to start construction,29.36,1753.0856
2017,Solar,CHIH,05-Norte,07-Juarez,About to start construction,29.36,1753.0856
2017,Solar,YUC,07-Peninsular,42-Merida,About to start construction,18,1074.78
2017,Solar,GTO,03-Occidental,30-Queretaro,About to start construction,30,1791.3
2017,Solar,COAH,05-Norte,11-Laguna,About to start construction,150,6021.327
2017,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,30,1791.3
2017,Solar,CHIH,05-Norte,08-Moctezuma,In construction,20,1194.2
2017,Solar,ZAC,06-Noreste,17-Saltillo,Processing generation permit with the CRE,100,4014.218
2017,Solar,BCS,10-Mulegé,53-Mulege,Tendering,4,160.347538
2018,Eolic,YUC,07-Peninsular,42-Merida,Project acquired in LP auction (SLP-1-2015),30,1031.7888
2018,Eolic,YUC,07-Peninsular,42-Merida,Project acquired in LP auction (SLP-1-2015),30,1023.6
2018,Eolic,YUC,07-Peninsular,42-Merida,Project acquired in LP auction (SLP-1-2015),76,2613.86496
2018,Eolic,OAX,02-Oriental,40-Ixtepec,In construction,396,13511.52
2018,Eolic,YUC,07-Peninsular,42-Merida,Project acquired in LP auction (SLP-1-2015),90,3152.688
2018,Eolic,TAMS,06-Noreste,14-Reynosa,Project acquired in LP auction (SLP-1-2015),168,5778.01728
2018,Eolic,TAMS,06-Noreste,18-Valles,Proyect with CENACE interconection process,95.7,3291.406272
2018,Eolic,JAL,03-Occidental,24-Aguascalientes,Processing generation permit with the CRE,200,6878.592
2018,Geotermic,MICH,03-Occidental,28-Carapan,In construction,26.62,1046.892892
2018,Hydroelectric,OAX,02-Oriental,36-Temascal,Maintenance project,0,405.3888
2018,Hydroelectric,CHIS,02-Oriental,39-Grijalva,In construction,241.21,6879.992127
2018,Solar,AGS,03-Occidental,24-Aguascalientes,Project acquired in LP auction (SLP-1-2015),63,2528.95734
2018,Solar,GTO,03-Occidental,30-Queretaro,Project acquired in LP auction (SLP-1-2015),207,8309.43126
2018,Solar,COAH,05-Norte,11-Laguna,Project acquired in LP auction (SLP-1-2015),250,10035.545
2018,Solar,COAH,05-Norte,11-Laguna,Project acquired in LP auction (SLP-1-2015),330,13246.9194
2018,Solar,COAH,06-Noreste,16-Monterrey,Processing generation permit with the CRE,125,5017.7725
2018,Solar,SON,04-Noroeste,01-Hermosillo,Processing generation permit with the CRE,125,5017.7725
2018,Solar,YUC,07-Peninsular,42-Merida,Project acquired in LP auction (SLP-1-2015),70,2809.9526
2018,Solar,JAL,03-Occidental,24-Aguascalientes,Project acquired in LP auction (SLP-1-2015),100,4014.218
2018,Solar,YUC,07-Peninsular,42-Merida,Project acquired in LP auction (SLP-1-2015),18,722.55924
2018,Solar,YUC,07-Peninsular,42-Merida,Project acquired in LP auction (SLP-1-2015),30,1204.2654
2018,Solar,ZAC,06-Noreste,17-Saltillo,Processing generation permit with the CRE,100,4014.218
2018,Solar,GTO,03-Occidental,30-Queretaro,Project acquired in LP auction (SLP-1-2015),100,4014.218
2018,Solar,YUC,07-Peninsular,42-Merida,Project acquired in LP auction (SLP-1-2015),500,20071.09
2018,Solar,BCS,09-Baja California Sur,50-Villa Constitucion,Project acquired in LP auction (SLP-1-2015),23,1373.33
2019,Eolic,PUE,02-Oriental,32-Poza Rica,About to start construction,50.4,1719.648
2019,Eolic,OAX,02-Oriental,40-Ixtepec,New project,200,6878.592
2019,Eolic,OAX,02-Oriental,40-Ixtepec,Proyect with CENACE interconection process,110,3783.2256
2019,Eolic,SLP,03-Occidental,25-San Luis Potos,Processing generation permit with the CRE,200,6878.592
2019,Eolic,OAX,02-Oriental,40-Ixtepec,Proyect with CENACE interconection process,150,5158.944
2019,Eolic,OAX,02-Oriental,40-Ixtepec,About to start construction,100,3439.296
2019,Eolic,OAX,02-Oriental,40-Ixtepec,About to start construction,300,10317.888
2019,Eolic,OAX,02-Oriental,40-Ixtepec,About to start construction,200,6878.592
2019,Eolic,BCS,09-Baja California Sur,51-La Paz,Proyect with CENACE interconection process,50,1719.648
2019,Eolic,OAX,02-Oriental,36-Temascal,Suspended,202.2,6576
2019,Eolic,OAX,02-Oriental,40-Ixtepec,Tendering,285.29,8290.402
2019,Eolic,OAX,02-Oriental,40-Ixtepec,Tendering,300.3,8719.039
2019,Eolic,OAX,02-Oriental,36-Temascal,Tendering,300.3,8141.152
2019,Eolic,OAX,02-Oriental,36-Temascal,Tendering,300.3,8141.152
2019,Eolic,OAX,02-Oriental,40-Ixtepec,About to start construction,70,2407.5072
2019,Geotermic,JAL,03-Occidental,23-Guadalajara,Tendering,26.62,1068.152027
2019,Hydroelectric,CHIS,02-Oriental,39-Grijalva,New project,18.73101296,362.5886742
2020,Eolic,TAMS,06-Noreste,15-Matamoros,About to start construction,100,3439.296
2020,Eolic,TAMS,06-Noreste,15-Matamoros,About to start construction,140,4815.0144
2020,Eolic,TAMS,06-Noreste,15-Matamoros,About to start construction,60,2063.5776
2020,Eolic,TAMS,06-Noreste,15-Matamoros,About to start construction,84,2889.00864
2020,Eolic,TAMS,06-Noreste,15-Matamoros,About to start construction,60,2063.5776
2020,Eolic,TAMS,06-Noreste,15-Matamoros,About to start construction,66,2269.93536
2020,Eolic,TAMS,06-Noreste,21-Guemez,About to start construction,117,3275.52
2020,Eolic,TAMS,06-Noreste,15-Matamoros,About to start construction,171,5881.19616
2020,Eolic,TAMS,06-Noreste,15-Matamoros,About to start construction,168,5778.01728
2020,Eolic,TAMS,06-Noreste,21-Guemez,In construction,73,2047.2
2020,Eolic,TAMS,06-Noreste,21-Guemez,In construction,60,2047.2
2020,Eolic,TAMS,06-Noreste,21-Guemez,About to start construction,57,1944.84
2020,Eolic,TAMS,06-Noreste,21-Guemez,About to start construction,57,1944.84
2020,Eolic,TAMS,06-Noreste,21-Guemez,About to start construction,145,2985.5
2020,Geotermic,MEX,01-Central,31-Central,New project,225.7,5987.94414
2020,Geotermic,PUE,02-Oriental,34-Puebla,New project,1.29999933,26.53054559
2020,Geotermic,BC,08-Baja California,48-Mexicali,New project,27,715.338
2020,Solar,BCS,09-Baja California Sur,50-Villa Constitucion,About to start construction,21.5,722.55924
2020,Solar,BCS,09-Baja California Sur,51-La Paz,In construction,4.89,291.9819
2020,Solar,NAY,03-Occidental,22-Tepic,About to start construction,10,597.1
2020,Solar,BCS,09-Baja California Sur,50-Villa Constitucion,About to start construction,30,1791.3
2020,Solar,BCS,09-Baja California Sur,51-La Paz,In construction,0.4100001,24.48110597
2021,Geotermic,PUE,02-Oriental,34-Puebla,New project,35.9400004,953.5078192
2021,Geotermic,NAY,03-Occidental,22-Tepic,New project,191.4400009,5079.007673
2021,Geotermic,PUE,02-Oriental,34-Puebla,Tendering,26.62,973.9674
2021,Hydroelectric,GRO,02-Oriental,35-Acapulco,Condicionado,455,18855.2481
2021,Solar,BCS,09-Baja California Sur,51-La Paz,About to start construction,13,776.23
2021,Solar,BCS,09-Baja California Sur,51-La Paz,In construction,25.11,1499.3181
2021,Solar,BCS,09-Baja California Sur,51-La Paz,In construction,30,1791.3
2021,Solar,BCS,09-Baja California Sur,51-La Paz,In construction,30,1791.3
2021,Solar,BCS,09-Baja California Sur,51-La Paz,In construction,1.89,112.8519
2022,Geotermic,NAY,03-Occidental,22-Tepic,New project,11.00000111,291.836031
2022,Geotermic,JAL,03-Occidental,23-Guadalajara,About to start construction,25,511.8
2022,Geotermic,NAY,03-Occidental,22-Tepic,In construction,30,1228.32
2022,Hydroelectric,CHIS,02-Oriental,39-Grijalva,New project,136,2629.016
2022,Hydroelectric,CHIS,02-Oriental,39-Grijalva,New project,456.728987,8841.206733
2022,Hydroelectric,CHIS,02-Oriental,39-Grijalva,New project,383.96,7432.569059
2022,Hydroelectric,CHIH,05-Norte,09-Chihuahua,New project,352,6804.512
2022,Hydroelectric,VER,02-Oriental,33-Veracruz,New project,121,2339.051
2022,Hydroelectric,CHIS,02-Oriental,39-Grijalva,New project,422,8157.682
2022,Solar,SON,04-Noroeste,02-Cananea,About to start construction,20.4099999,1218.681094
2022,Solar,BCS,09-Baja California Sur,52-Los Cabos,About to start construction,30,1791.3
2022,Solar,BCS,09-Baja California Sur,51-La Paz,In construction,29.5899999,1791.3
2022,Solar,BCS,09-Baja California Sur,52-Los Cabos,In construction,20,1194.2
2023,Bioenergy,COAH,05-Norte,11-Laguna,About to start construction,30,460.62
2023,Geotermic,JAL,03-Occidental,23-Guadalajara,New project,27,715.338
2023,Geotermic,NAY,03-Occidental,22-Tepic,New project,26.99999957,716.3247196
2023,Hydroelectric,TAB,02-Oriental,38-Tabasco,New project,85.77,2122.557815
2023,Hydroelectric,OAX,02-Oriental,36-Temascal,New project,196.38,4859.833318
2023,Hydroelectric,NAY,03-Occidental,22-Tepic,Tendering,241.21,12422.02802
2023,Hydroelectric,VER,02-Oriental,32-Poza Rica,New project,54,1334.502
2023,Solar,SON,04-Noroeste,02-Cananea,About to start construction,30,1791.3
2023,Solar,SON,04-Noroeste,02-Cananea,About to start construction,9.5900001,572.618906
2023,Solar,SON,04-Noroeste,02-Cananea,About to start construction,30,1791.3
2023,Solar,SON,04-Noroeste,02-Cananea,About to start construction,30,1791.3
2023,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,0.40999992,24.48109522
2024,Bioenergy,MEX,01-Central,31-Central,In construction,30,614.16
2024,Eolic,COAH,06-Noreste,12-Ro Escondido,New project,37.576425,986.161375
2024,Eolic,COAH,06-Noreste,17-Saltillo,New project,37.593056,986.5978415
2024,Eolic,OAX,02-Oriental,36-Temascal,New project,105.302314,2763.569838
2024,Eolic,OAX,02-Oriental,36-Temascal,New project,90.288012,2369.532228
2024,Eolic,AGS,03-Occidental,24-Aguascalientes,New project,153,5262.12288
2024,Eolic,BC,08-Baja California,48-Mexicali,About to start construction,30,1023.6
2024,Eolic,BC,08-Baja California,46-Tijuana,In construction,72,2456.64
2024,Eolic,SON,04-Noroeste,02-Cananea,About to start construction,103.5,3531.42
2024,Eolic,BC,08-Baja California,46-Tijuana,New project,100.1,2663.149566
2024,Eolic,BC,08-Baja California,46-Tijuana,New project,100.1,2663.149566
2024,Eolic,BC,08-Baja California,46-Tijuana,New project,100.1,2663.149566
2024,Eolic,BC,08-Baja California,46-Tijuana,In construction,300.8,10263.296
2024,Geotermic,JAL,03-Occidental,23-Guadalajara,New project,14.69999988,389.999017
2024,Geotermic,NAY,03-Occidental,22-Tepic,New project,1.3000007,34.48972784
2024,Geotermic,HGO,03-Occidental,30-Queretaro,About to start construction,25,511.8
2024,Hydroelectric,GRO,02-Oriental,35-Acapulco,New project,230.52,4462.328939
2024,Hydroelectric,VER,02-Oriental,33-Veracruz,New project,173.72,4299.064283
2024,Hydroelectric,VER,02-Oriental,33-Veracruz,In construction,165,4222.35
2024,Hydroelectric,VER,02-Oriental,33-Veracruz,In construction,165,4222.35
2024,Hydroelectric,GRO,02-Oriental,35-Acapulco,New project,231,4465.461
2024,Solar,DGO,05-Norte,11-Laguna,In construction,10,597.1
2024,Solar,DGO,05-Norte,11-Laguna,About to start construction,30,1791.3
2024,Solar,DGO,05-Norte,11-Laguna,In construction,22.52,1344.6692
2024,Solar,DGO,05-Norte,11-Laguna,In construction,8.3,495.593
2024,Solar,DGO,05-Norte,11-Laguna,In construction,21.38,1276.5998
2024,Solar,COAH,05-Norte,11-Laguna,In construction,7.8,465.738
2025,Eolic,HGO,01-Central,31-Central,About to start construction,30,1023.6
2025,Eolic,QRO,03-Occidental,30-Queretaro,About to start construction,30,1023.6
2025,Eolic,GTO,03-Occidental,30-Queretaro,About to start construction,30,1023.6
2025,Eolic,COAH,06-Noreste,12-Ro Escondido,New project,30.290676,794.9530775
2025,Eolic,COAH,06-Noreste,17-Saltillo,New project,11.939918,313.353012
2025,Eolic,GTO,03-Occidental,30-Queretaro,About to start construction,30,1023.6
2025,Eolic,OAX,02-Oriental,40-Ixtepec,About to start construction,150,5158.944
2025,Eolic,JAL,03-Occidental,24-Aguascalientes,About to start construction,76,2593.12
2025,Eolic,JAL,03-Occidental,24-Aguascalientes,In construction,64,2183.68
2025,Eolic,GTO,03-Occidental,30-Queretaro,About to start construction,63,2149.56
2025,Eolic,OAX,02-Oriental,40-Ixtepec,In construction,70,2388.4
2025,Eolic,GTO,03-Occidental,24-Aguascalientes,In construction,40,1364.8
2025,Eolic,JAL,03-Occidental,24-Aguascalientes,About to start construction,40,1364.8
2025,Eolic,OAX,02-Oriental,40-Ixtepec,New project,150,5158.944
2025,Eolic,OAX,02-Oriental,40-Ixtepec,New project,150,5158.944
2025,Eolic,OAX,02-Oriental,40-Ixtepec,About to start construction,2,68.24
2025,Eolic,OAX,02-Oriental,40-Ixtepec,About to start construction,300,10317.888
2025,Eolic,ZAC,03-Occidental,24-Aguascalientes,About to start construction,82.5,2814.9
2025,Eolic,GTO,03-Occidental,24-Aguascalientes,About to start construction,24,818.88
2025,Eolic,QRO,03-Occidental,30-Queretaro,About to start construction,30,1023.6
2025,Eolic,OAX,02-Oriental,40-Ixtepec,About to start construction,10,343.9296
2025,Eolic,OAX,02-Oriental,40-Ixtepec,New project,200,6878.592
2025,Eolic,OAX,02-Oriental,40-Ixtepec,In construction,15,511.8
2025,Geotermic,JAL,03-Occidental,23-Guadalajara,New project,1.00000008,26.53054772
2025,Geotermic,JAL,03-Occidental,23-Guadalajara,About to start construction,25,511.8
2025,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,30,1791.3
2025,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,50,2985.5
2025,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,30,1791.3
2025,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,30,1791.3
2025,Solar,SON,04-Noroeste,01-Hermosillo,In construction,30,1791.3
2025,Solar,SON,04-Noroeste,01-Hermosillo,New project,30,918.935826
2025,Solar,SON,04-Noroeste,01-Hermosillo,New project,6.279,192.3332684
2025,Solar,SON,04-Noroeste,01-Hermosillo,New project,30,918.935826
2025,Solar,SON,04-Noroeste,01-Hermosillo,New project,30,918.935826
2025,Solar,SON,04-Noroeste,01-Hermosillo,In construction,30,1791.3
2025,Solar,SON,04-Noroeste,01-Hermosillo,In construction,30,1791.3
2025,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,125,7463.75
2025,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,37.63069604,2246.928861
2025,Solar,DGO,05-Norte,11-Laguna,In construction,13.96,833.5516
2025,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,95.37298,5694.720636
2025,Solar,SON,04-Noroeste,01-Hermosillo,In construction,30,1791.3
2025,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,24.7,1474.837
2025,Solar,DGO,05-Norte,11-Laguna,About to start construction,30,1791.3
2025,Solar,COAH,05-Norte,11-Laguna,About to start construction,30,1791.3
2025,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,30,1791.3
2025,Solar,SON,04-Noroeste,01-Hermosillo,In construction,30,1791.3
2025,Solar,COAH,05-Norte,11-Laguna,In construction,30,1791.3
2025,Solar,COAH,05-Norte,11-Laguna,In construction,22.2,1325.562
2026,Eolic,COAH,06-Noreste,12-Ro Escondido,New project,150,3936.622663
2026,Eolic,COAH,06-Noreste,12-Ro Escondido,New project,87.933502,2307.740112
2026,Eolic,COAH,06-Noreste,17-Saltillo,New project,200,5248.830217
2026,Eolic,COAH,06-Noreste,17-Saltillo,New project,188.060082,4935.477206
2026,Eolic,COAH,06-Noreste,17-Saltillo,New project,162.406944,4262.232376
2026,Eolic,COAH,06-Noreste,12-Ro Escondido,In construction,200,6824
2026,Eolic,COAH,06-Noreste,17-Saltillo,About to start construction,50,1706
2026,Eolic,CHIH,05-Norte,09-Chihuahua,About to start construction,30,1023.6
2026,Eolic,COAH,06-Noreste,12-Ro Escondido,About to start construction,200,6824
2026,Eolic,COAH,06-Noreste,17-Saltillo,About to start construction,50,1706
2026,Geotermic,JAL,03-Occidental,23-Guadalajara,New project,43.70000016,1159.384847
2026,Geotermic,JAL,03-Occidental,23-Guadalajara,New project,11.30000004,299.7951663
2026,Hydroelectric,VER,02-Oriental,37-Coatzacoalcos,New project,281.03,5440.084599
2026,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,100,5971
2026,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,40,2388.4
2026,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,30,1791.3
2026,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,19,1134.49
2026,Solar,DGO,05-Norte,10-Durango,New project,55.780824,1708.633253
2026,Solar,SON,04-Noroeste,01-Hermosillo,New project,82.302225,2521.015437
2026,Solar,SON,04-Noroeste,01-Hermosillo,New project,100,3063.11942
2026,Solar,SON,04-Noroeste,01-Hermosillo,In construction,29.55,1764.4305
2026,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,30,1791.3
2026,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,128.369304,7664.931139
2026,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,23.7506262,1418.14989
2026,Solar,CHIH,05-Norte,08-Moctezuma,In construction,15.2,907.592
2026,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,4.62702,276.2793642
2026,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,26,1552.46
2026,Solar,SON,04-Noroeste,01-Hermosillo,New project,40,1605.6872
2026,Solar,CHIH,05-Norte,08-Moctezuma,In construction,15.2,907.592
2026,Solar,SON,04-Noroeste,01-Hermosillo,In construction,20,1194.2
2026,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,35,1404.9763
2026,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,29.34000008,1776.3725
2026,Solar,SON,04-Noroeste,01-Hermosillo,In construction,70.88,2845.277718
2027,Eolic,COAH,06-Noreste,12-Ro Escondido,New project,82.132899,2155.508211
2027,Eolic,COAH,06-Noreste,12-Ro Escondido,New project,42.321172,1110.683232
2027,Eolic,COAH,06-Noreste,16-Monterrey,In construction,50,1706
2027,Eolic,NL,06-Noreste,16-Monterrey,About to start construction,40,1364.8
2027,Eolic,TAMS,06-Noreste,15-Matamoros,New project,275,9458.064
2027,Eolic,COAH,06-Noreste,16-Monterrey,In construction,300,10236
2027,Eolic,NL,06-Noreste,16-Monterrey,In construction,250,8530
2027,Eolic,COAH,06-Noreste,12-Ro Escondido,About to start construction,150,5118
2027,Geotermic,JAL,03-Occidental,23-Guadalajara,New project,27,715.338
2027,Geotermic,JAL,03-Occidental,23-Guadalajara,New project,35.99999985,955.0996374
2027,Solar,CHIH,05-Norte,07-Juarez,About to start construction,30,1791.3
2027,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,25,1492.75
2027,Solar,DGO,05-Norte,10-Durango,In construction,30,1791.3
2027,Solar,DGO,05-Norte,10-Durango,New project,30,918.935826
2027,Solar,DGO,05-Norte,10-Durango,New project,30,918.935826
2027,Solar,DGO,05-Norte,10-Durango,New project,30,918.935826
2027,Solar,DGO,05-Norte,10-Durango,New project,15.982125,489.5515746
2027,Solar,SON,04-Noroeste,01-Hermosillo,New project,17.697775,542.1039829
2027,Solar,CHIH,05-Norte,08-Moctezuma,In construction,10,597.1
2027,Solar,DGO,05-Norte,10-Durango,In construction,30,1791.3
2027,Solar,CHIH,05-Norte,08-Moctezuma,In construction,30,1791.3
2027,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,30,1791.3
2027,Solar,CHIH,05-Norte,07-Juarez,In construction,30,1791.3
2027,Solar,CHIH,05-Norte,07-Juarez,About to start construction,30,1791.3
2027,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,30,1791.3
2027,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,30,1791.3
2027,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,6.2493738,373.1501096
2027,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,25,1492.75
2027,Solar,DGO,05-Norte,10-Durango,About to start construction,30,1791.3
2027,Solar,DGO,05-Norte,10-Durango,About to start construction,30,1791.3
2027,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,30,1791.3
2027,Solar,CHIH,05-Norte,08-Moctezuma,About to start construction,30,1791.3
2027,Solar,CHIH,05-Norte,07-Juarez,About to start construction,30,1791.3
2027,Solar,CHIH,05-Norte,07-Juarez,In construction,30,1791.3
2027,Solar,CHIH,05-Norte,07-Juarez,About to start construction,30,1791.3
2027,Solar,CHIH,05-Norte,07-Juarez,In construction,11.070726,661.0330495
2027,Solar,DGO,05-Norte,10-Durango,In construction,30,1791.3
2027,Solar,CHIH,05-Norte,07-Juarez,In construction,30,1791.3
2027,Solar,DGO,05-Norte,10-Durango,About to start construction,30,1791.3
2027,Solar,DGO,05-Norte,10-Durango,About to start construction,30,1791.3
2028,Nuclear,VER,02-Oriental,33-Veracruz,New project,1360.3,111225.7884
2028,Solar,SON,04-Noroeste,01-Hermosillo,New project,23.721,726.6025576
2028,Solar,BC,08-Baja California,48-Mexicali,In construction,5.39999999,322.4339994
2028,Solar,BC,08-Baja California,48-Mexicali,About to start construction,30,1791.3
2028,Solar,SON,04-Noroeste,01-Hermosillo,About to start construction,30,1791.3
2028,Solar,SON,04-Noroeste,01-Hermosillo,In construction,0.879,52.473148
2028,Solar,SON,04-Noroeste,01-Hermosillo,In construction,10,597.1
2029,Nuclear,VER,02-Oriental,33-Veracruz,New project,1360.3,111225.7884
2029,Solar,BC,08-Baja California,47-Ensenada,New project,60,1837.871652
2029,Solar,BC,08-Baja California,48-Mexicali,In construction,10.00000001,597.1000006
2029,Solar,SON,08-Baja California,49-San Luis Ro Colorado,In construction,30,1791.3
2030,Nuclear,VER,02-Oriental,33-Veracruz,New project,1360.3,111225.7884
2030,Solar,BC,08-Baja California,47-Ensenada,New project,40,1225.247768
2030,Solar,BC,08-Baja California,47-Ensenada,About to start construction,30,1791.3
2030,Solar,BC,08-Baja California,47-Ensenada,About to start construction,30,1791.3
