Origen,Destino,Capacidad de transmision (MW),Costo de contruccion (miles de dolares/km),Distancia Aproximada (km),Precio (USD/MW-KM)
35-Acapulco,34-Puebla,733.12,785.021,154,1070.794686
24-Aguascalientes,26-Salamanca,1058.37,1066.0424,56,1007.249261
41-Lerma,44-Chetumal,868.87,847.172,105,975.0273344
41-Lerma,42-Merida,691.5,847.172,176,1225.122198
28-Carapan,26-Salamanca,832.37,1035.4105,116,1243.930584
09-Chihuahua,11-Laguna,557.63,1304.5205,292,2339.401575
37-Coatzacoalcos,36-Temascal,648.86,696.2015,203,1072.961039
10-Durango,24-Aguascalientes,742.15,814.27814,150,1097.188089
39-Grijalva,37-Coatzacoalcos,760.2,696.2015,142,915.8136017
39-Grijalva,38-Tabasco,742.15,622.2845,150,838.48885
39-Grijalva,36-Temascal,605.62,552.924,240,912.9883425
23-Guadalajara,24-Aguascalientes,682.87,940.8785,181,1377.829602
23-Guadalajara,28-Carapan,862.24,922.5205,107,1069.91151
23-Guadalajara,29-Lazaro Cardenas,610.27,922.5205,235,1511.659593
23-Guadalajara,26-Salamanca,636.92,1220.39,212,1916.080512
19-Huasteca,20-Tamazunchale,698.4,817.0705,172,1169.917669
19-Huasteca,18-Valles,872.19,817.0705,104,936.8033341
19-Huasteca,16-Monterrey,707.03,792.88523,167,1121.430816
19-Huasteca,32-Poza Rica,651.52,839.479,201,1288.493062
07-Juarez,08-Moctezuma,789.53,1704.802,129,2159.261839
11-Laguna,10-Durango,640.9,878.958,209,1371.443283
11-Laguna,17-Saltillo,612.13,904.239,233,1477.200921
29-Lazaro Cardenas,35-Acapulco,644.88,872.564,206,1353.064136
29-Lazaro Cardenas,28-Carapan,681.15,737.541,182,1082.787932
29-Lazaro Cardenas,26-Salamanca,557.63,1035.4105,298,1856.805588
29-Lazaro Cardenas,31-Central,602.84,1167.90614,243,1937.340157
04-Los Mochis,05-Culiacan,604.69,630.759,241,1043.111346
27-Manzanillo,23-Guadalajara,712.21,924.259,164,1297.733814
15-Matamoros,14-Reynosa,1042.44,795.08,60,762.7105637
06-Mazatlan,05-Culiacan,639.57,630.759,210,986.2235565
06-Mazatlan,10-Durango,632.94,742.218,215,1172.651436
06-Mazatlan,22-Tepic,594.47,830.19,252,1396.521271
42-Merida,43-Cancun,715.66,688.519,162,962.0755666
42-Merida,44-Chetumal,560.1,688.519,289,1229.2787
48-Mexicali,47-Ensenada,812.46,1058.809,120,1303.213697
48-Mexicali,49-San Luis Ro Colorado,1090.22,838.5215,48,769.1305425
08-Moctezuma,09-Chihuahua,644.88,1704.802,206,2643.595708
16-Monterrey,17-Saltillo,1054.38,828.484,57,785.7546615
02-Cananea,01-Hermosillo,737.64,618.234,152,838.1242883
02-Cananea,08-Moctezuma,631.61,1161.518,216,1838.97975
03-Obregon,04-Los Mochis,667.34,624.4965,190,935.7995924
32-Poza Rica,31-Central,606.55,1047.027,239,1726.200643
32-Poza Rica,34-Puebla,812.46,700.967,122,862.7710903
34-Puebla,31-Central,1010.58,708.011,68,700.5986661
30-Queretaro,25-San Luis Potos,787.28,807.8155,130,1026.084112
30-Queretaro,31-Central,915.02,837.268,92,915.0269939
14-Reynosa,16-Monterrey,620.99,773.9045,224,1246.243096
14-Reynosa,13-Nuevo Laredo,1022.53,795.08,65,777.5615385
12-Ro Escondido,09-Chihuahua,510.39,1704.802,354,3340.194753
12-Ro Escondido,16-Monterrey,703.58,1114.46429,169,1583.990861
12-Ro Escondido,13-Nuevo Laredo,698.4,1039.2125,172,1487.990407
26-Salamanca,31-Central,701.85,1235.10575,170,1759.785923
26-Salamanca,30-Queretaro,1042.44,1077.1245,60,1033.272419
17-Saltillo,24-Aguascalientes,454.16,822.72614,441,1811.533689
25-San Luis Potos,24-Aguascalientes,753.43,786.56573,145,1043.979839
38-Tabasco,41-Lerma,552.85,828.759,298,1499.066655
20-Tamazunchale,31-Central,552.85,1168.276,289,2113.188026
20-Tamazunchale,30-Queretaro,656.83,807.8155,197,1229.869982
36-Temascal,35-Acapulco,626.3,780.2555,220,1245.8175
36-Temascal,34-Puebla,619.66,557.6895,225,899.992738
22-Tepic,23-Guadalajara,751.17,1068.5605,146,1422.528189
46-Tijuana,47-Ensenada,922.98,1058.809,90,1147.163536
46-Tijuana,48-Mexicali,919,1058.809,91,1152.131665
18-Valles,25-San Luis Potos,588.9,794.662,258,1349.400577
33-Veracruz,32-Poza Rica,782.76,839.479,132,1072.460269
33-Veracruz,34-Puebla,638.25,700.967,211,1098.264003
33-Veracruz,36-Temascal,907.06,696.2015,94,767.5363262
35-Acapulco,34-Puebla,660.4,646.1,154,978.3464567
24-Aguascalientes,26-Salamanca,953.38,927.1,56,972.4349158
41-Lerma,44-Chetumal,782.69,708.3,105,904.9559851
41-Lerma,42-Merida,622.91,708.3,176,1137.082404
28-Carapan,26-Salamanca,749.81,896.5,116,1195.636228
09-Chihuahua,11-Laguna,502.31,1165.6,292,2320.479385
37-Coatzacoalcos,36-Temascal,200,557.3,203,2786.5
10-Durango,24-Aguascalientes,668.53,675.4,150,1010.276278
39-Grijalva,37-Coatzacoalcos,684.79,557.3,142,813.8261365
39-Grijalva,38-Tabasco,668.53,483.4,150,723.0789942
39-Grijalva,36-Temascal,545.55,414,240,758.8671982
23-Guadalajara,24-Aguascalientes,615.14,802,181,1303.768248
23-Guadalajara,28-Carapan,776.71,783.6,107,1008.87075
23-Guadalajara,29-Lazaro Cardenas,549.73,783.6,235,1425.427028
23-Guadalajara,26-Salamanca,573.74,1081.5,212,1885.000174
19-Huasteca,20-Tamazunchale,629.13,678.2,172,1077.996598
19-Huasteca,18-Valles,785.67,678.2,104,863.2122901
19-Huasteca,16-Monterrey,636.9,654,167,1026.848799
19-Huasteca,32-Poza Rica,586.89,700.6,201,1193.750106
07-Juarez,08-Moctezuma,711.22,1565.9,129,2201.709738
11-Laguna,10-Durango,577.33,740,209,1281.762597
11-Laguna,17-Saltillo,551.41,765.3,233,1387.896484
29-Lazaro Cardenas,35-Acapulco,580.91,733.7,206,1263.018368
29-Lazaro Cardenas,28-Carapan,613.58,598.6,182,975.5859057
29-Lazaro Cardenas,26-Salamanca,502.31,896.5,298,1784.754435
29-Lazaro Cardenas,31-Central,543.04,1029,243,1894.888038
04-Los Mochis,05-Culiacan,544.71,491.8,241,902.8657451
27-Manzanillo,23-Guadalajara,641.56,785.3,164,1224.047634
15-Matamoros,14-Reynosa,939.04,656.2,60,698.7987732
06-Mazatlan,05-Culiacan,576.13,491.8,210,853.6267856
06-Mazatlan,10-Durango,570.15,603.3,215,1058.142594
06-Mazatlan,22-Tepic,535.51,691.3,252,1290.918937
42-Merida,43-Cancun,644.67,549.6,162,852.529201
42-Merida,44-Chetumal,504.54,549.6,289,1089.309074
48-Mexicali,47-Ensenada,731.87,919.9,120,1256.917212
48-Mexicali,49-San Luis Ro Colorado,982.08,699.6,48,712.3655914
08-Moctezuma,09-Chihuahua,580.91,1565.9,206,2695.598285
16-Monterrey,17-Saltillo,949.8,689.6,57,726.047589
02-Cananea,01-Hermosillo,664.47,479.3,152,721.3267717
02-Cananea,08-Moctezuma,568.96,1022.6,216,1797.314398
03-Obregon,04-Los Mochis,601.15,485.6,190,807.7850786
32-Poza Rica,31-Central,546.39,908.1,239,1661.999671
32-Poza Rica,34-Puebla,731.87,562.1,122,768.0325741
34-Puebla,31-Central,910.34,569.1,68,625.1510425
30-Queretaro,25-San Luis Potos,709.18,668.9,130,943.202008
30-Queretaro,31-Central,824.26,698.4,92,847.3054619
14-Reynosa,16-Monterrey,559.39,635,224,1135.165091
14-Reynosa,13-Nuevo Laredo,921.1,656.2,65,712.4090761
12-Ro Escondido,09-Chihuahua,459.76,1565.9,354,3405.90743
12-Ro Escondido,16-Monterrey,633.79,975.6,169,1539.311128
12-Ro Escondido,13-Nuevo Laredo,629.13,900.3,172,1431.023795
26-Salamanca,31-Central,632.23,1096.2,170,1733.862677
26-Salamanca,30-Queretaro,939.04,938.2,60,999.1054694
17-Saltillo,24-Aguascalientes,409.11,683.8,441,1671.433111
25-San Luis Potos,24-Aguascalientes,678.7,647.7,145,954.3244438
38-Tabasco,41-Lerma,498.01,689.8,298,1385.112749
20-Tamazunchale,31-Central,498.01,1029.4,289,2067.026767
20-Tamazunchale,30-Queretaro,591.67,668.9,197,1130.528842
36-Temascal,35-Acapulco,564.17,641.3,220,1136.714111
36-Temascal,34-Puebla,558.2,418.8,225,750.2687209
22-Tepic,23-Guadalajara,676.66,929.6,146,1373.806638
46-Tijuana,47-Ensenada,831.43,919.9,90,1106.407034
46-Tijuana,48-Mexicali,827.84,919.9,91,1111.205064
18-Valles,25-San Luis Potos,530.48,655.7,258,1236.050369
33-Veracruz,32-Poza Rica,705.12,700.6,132,993.5897436
33-Veracruz,34-Puebla,574.94,562.1,211,977.6672348
33-Veracruz,36-Temascal,817.08,557.3,94,682.0629559
35-Acapulco,34-Puebla,218.35,455.6,154,2086.558278
24-Aguascalientes,26-Salamanca,315.21,408.9,56,1297.230418
41-Lerma,44-Chetumal,258.78,423.9,105,1638.070948
41-Lerma,42-Merida,205.95,456.3,176,2215.586307
28-Carapan,26-Salamanca,247.9,424.2,116,1711.17386
09-Chihuahua,11-Laguna,166.08,347.2,292,2090.558767
37-Coatzacoalcos,36-Temascal,193.25,382.6,203,1979.818887
10-Durango,24-Aguascalientes,221.03,305.5,150,1382.165317
39-Grijalva,37-Coatzacoalcos,226.41,480.1,142,2120.489378
39-Grijalva,38-Tabasco,221.03,693.7,150,3138.487988
39-Grijalva,36-Temascal,180.37,422.6,240,2342.96169
23-Guadalajara,24-Aguascalientes,203.38,418,181,2055.266005
23-Guadalajara,28-Carapan,256.8,444.2,107,1729.750779
23-Guadalajara,29-Lazaro Cardenas,181.76,627.9,235,3454.555458
23-Guadalajara,26-Salamanca,189.69,433.4,212,2284.780431
19-Huasteca,20-Tamazunchale,208,597.8,172,2874.038462
19-Huasteca,18-Valles,259.76,693.5,104,2669.772097
19-Huasteca,16-Monterrey,210.57,252.7,167,1200.075984
19-Huasteca,32-Poza Rica,194.04,619.9,201,3194.702123
07-Juarez,08-Moctezuma,235.15,352.8,129,1500.318945
11-Laguna,10-Durango,190.88,1081.2,209,5664.291702
11-Laguna,17-Saltillo,182.31,597.8,233,3279.030223
29-Lazaro Cardenas,35-Acapulco,192.06,356.2,206,1854.628762
29-Lazaro Cardenas,28-Carapan,202.87,438.1,182,2159.511017
29-Lazaro Cardenas,26-Salamanca,166.08,600.5,298,3615.72736
29-Lazaro Cardenas,31-Central,179.54,742,243,4132.783781
04-Los Mochis,05-Culiacan,180.1,299.4,241,1662.409772
27-Manzanillo,23-Guadalajara,212.12,448.5,164,2114.369225
15-Matamoros,14-Reynosa,310.47,249.3,60,802.976133
06-Mazatlan,05-Culiacan,190.48,529.5,210,2779.819404
06-Mazatlan,10-Durango,188.51,1081.2,215,5735.504748
06-Mazatlan,22-Tepic,177.05,614.7,252,3471.900593
42-Merida,43-Cancun,213.14,352.8,162,1655.25007
42-Merida,44-Chetumal,166.81,356.2,289,2135.363587
48-Mexicali,47-Ensenada,241.98,416.9,120,1722.869659
48-Mexicali,49-San Luis Ro Colorado,324.7,688.8,48,2121.342778
08-Moctezuma,09-Chihuahua,192.06,461.8,206,2404.456941
16-Monterrey,17-Saltillo,314.03,614.7,57,1957.456294
02-Cananea,01-Hermosillo,219.69,516.2,152,2349.674541
02-Cananea,08-Moctezuma,188.11,456.3,216,2425.708362
03-Obregon,04-Los Mochis,198.75,386,190,1942.138365
32-Poza Rica,31-Central,180.65,433.4,239,2399.114309
32-Poza Rica,34-Puebla,241.98,449.5,122,1857.591536
34-Puebla,31-Central,300.98,361.3,68,1200.411988
30-Queretaro,25-San Luis Potos,234.47,440.1,130,1876.99919
30-Queretaro,31-Central,272.52,296.5,92,1087.993542
14-Reynosa,16-Monterrey,184.95,614.7,224,3323.600973
14-Reynosa,13-Nuevo Laredo,304.54,461.8,65,1516.385368
12-Ro Escondido,09-Chihuahua,152.01,352.8,354,2320.899941
12-Ro Escondido,16-Monterrey,209.55,413.5,169,1973.276068
12-Ro Escondido,13-Nuevo Laredo,208,654.9,172,3148.557692
26-Salamanca,31-Central,209.03,454.7,170,2175.285844
26-Salamanca,30-Queretaro,310.47,448.3,60,1443.939833
17-Saltillo,24-Aguascalientes,135.26,517.5,441,3825.964809
25-San Luis Potos,24-Aguascalientes,224.39,305.5,145,1361.468871
38-Tabasco,41-Lerma,164.65,621.7,298,3775.888248
20-Tamazunchale,31-Central,164.65,1081.2,289,6566.656544
20-Tamazunchale,30-Queretaro,195.62,440.1,197,2249.769962
36-Temascal,35-Acapulco,186.53,424.2,220,2274.165014
36-Temascal,34-Puebla,184.55,484.8,225,2626.930371
22-Tepic,23-Guadalajara,223.72,606.1,146,2709.190059
46-Tijuana,47-Ensenada,274.89,516.2,90,1877.842046
46-Tijuana,48-Mexicali,273.71,731.4,91,2672.171276
18-Valles,25-San Luis Potos,175.39,455.6,258,2597.639546
33-Veracruz,32-Poza Rica,233.13,296.5,132,1271.822588
33-Veracruz,34-Puebla,190.09,347.2,211,1826.503235
33-Veracruz,36-Temascal,270.15,503,94,1861.928558
35-Acapulco,34-Puebla,173.6,389.438,154,2243.306452
24-Aguascalientes,26-Salamanca,250.62,592.39779,56,2363.729112
41-Lerma,44-Chetumal,205.75,434.3255,105,2110.938032
41-Lerma,42-Merida,163.75,434.3255,176,2652.369466
28-Carapan,26-Salamanca,197.11,570.2745,116,2893.178936
09-Chihuahua,11-Laguna,132.05,764.632,292,5790.473306
37-Coatzacoalcos,36-Temascal,153.65,325.2905,203,2117.087537
10-Durango,24-Aguascalientes,175.74,410.56812,150,2336.22465
39-Grijalva,37-Coatzacoalcos,180.02,325.2905,142,1806.96867
39-Grijalva,38-Tabasco,175.74,271.906,150,1547.2061
39-Grijalva,36-Temascal,143.41,221.812,240,1546.698278
23-Guadalajara,24-Aguascalientes,161.7,502.002,181,3104.526902
23-Guadalajara,28-Carapan,204.18,488.7435,107,2393.689392
23-Guadalajara,29-Lazaro Cardenas,144.51,488.7435,235,3382.073905
23-Guadalajara,26-Salamanca,150.82,703.871,212,4666.960615
19-Huasteca,20-Tamazunchale,165.38,412.585,172,2494.769621
19-Huasteca,18-Valles,206.53,412.585,104,1997.700092
19-Huasteca,16-Monterrey,167.42,395.11785,167,2360.03972
19-Huasteca,32-Poza Rica,154.28,428.769,201,2779.161265
07-Juarez,08-Moctezuma,186.96,1053.724,129,5636.093282
11-Laguna,10-Durango,151.76,457.2815,209,3013.188587
11-Laguna,17-Saltillo,144.95,475.54,233,3280.717489
29-Lazaro Cardenas,35-Acapulco,152.71,452.6635,206,2964.203392
29-Lazaro Cardenas,28-Carapan,161.3,355.147,182,2201.779293
29-Lazaro Cardenas,26-Salamanca,132.05,570.2745,298,4318.625521
29-Lazaro Cardenas,31-Central,142.75,665.96601,243,4665.261016
04-Los Mochis,05-Culiacan,143.19,278.027,241,1941.664921
27-Manzanillo,23-Guadalajara,168.65,489.999,164,2905.419508
15-Matamoros,14-Reynosa,246.85,396.703,60,1607.060968
06-Mazatlan,05-Culiacan,151.45,278.027,210,1835.76758
06-Mazatlan,10-Durango,149.88,358.525,215,2392.080331
06-Mazatlan,22-Tepic,140.77,422.06,252,2998.224053
42-Merida,43-Cancun,169.47,319.7425,162,1886.720363
42-Merida,44-Chetumal,132.63,319.7425,289,2410.785644
48-Mexicali,47-Ensenada,192.39,587.174,120,3051.998545
48-Mexicali,49-San Luis Ro Colorado,258.16,428.0775,48,1658.186783
08-Moctezuma,09-Chihuahua,152.71,1053.724,206,6900.163709
16-Monterrey,17-Saltillo,249.68,420.828,57,1685.469401
02-Cananea,01-Hermosillo,174.67,268.981,152,1539.938169
02-Cananea,08-Moctezuma,149.56,661.3525,216,4421.987831
03-Obregon,04-Los Mochis,158.03,273.504,190,1730.709359
32-Poza Rica,31-Central,143.63,578.6645,239,4028.855392
32-Poza Rica,34-Puebla,192.39,328.7325,122,1708.677686
34-Puebla,31-Central,239.31,333.8195,68,1394.924993
30-Queretaro,25-San Luis Potos,186.43,405.9005,130,2177.227378
30-Queretaro,31-Central,216.68,427.1715,92,1971.43945
14-Reynosa,16-Monterrey,147.05,381.4095,224,2593.740224
14-Reynosa,13-Nuevo Laredo,242.13,396.703,65,1638.388469
12-Ro Escondido,09-Chihuahua,120.86,1053.724,354,8718.550389
12-Ro Escondido,16-Monterrey,166.61,627.36921,169,3765.495528
12-Ro Escondido,13-Nuevo Laredo,165.38,573.02075,172,3464.873322
26-Salamanca,31-Central,166.2,714.49875,170,4299.029783
26-Salamanca,30-Queretaro,246.85,600.401,60,2432.250354
17-Saltillo,24-Aguascalientes,107.54,416.66949,441,3874.553561
25-San Luis Potos,24-Aguascalientes,178.41,390.55362,145,2189.0792
38-Tabasco,41-Lerma,130.91,421.027,298,3216.156138
20-Tamazunchale,31-Central,130.91,666.233,289,5089.244519
20-Tamazunchale,30-Queretaro,155.54,405.9005,197,2609.621319
36-Temascal,35-Acapulco,148.31,385.996,220,2602.629627
36-Temascal,34-Puebla,146.74,225.254,225,1535.0552
22-Tepic,23-Guadalajara,177.88,594.2165,146,3340.546998
46-Tijuana,47-Ensenada,218.56,587.174,90,2686.557467
46-Tijuana,48-Mexicali,217.62,587.174,91,2698.161934
18-Valles,25-San Luis Potos,139.45,396.401,258,2842.603084
33-Veracruz,32-Poza Rica,185.36,428.769,132,2313.168968
33-Veracruz,34-Puebla,151.14,328.7325,211,2175.019849
33-Veracruz,36-Temascal,214.79,325.2905,94,1514.458308
